response_pattern_id,rp_name,domain,severity_range,l1_focus,l2_focus,l3_focus,description
RP001,Temperature Monitoring & Cold Chain,D01,medium-critical,"Verify all fridges and cold storage units are logging temperatures daily. Check the last 7 days of records for gaps or out-of-range readings. Any unit running above 5C or freezer above -18C must be investigated immediately. Move high-risk items to compliant units and discard anything that has been stored out of range without documented justification. Confirm the thermometer is calibrated and placed correctly in each unit.","Implement a twice-daily temperature monitoring system with designated responsibility for morning and afternoon checks. Install digital probe thermometers in all cold storage units and create a logbook or digital system that records time temperature and initials. Establish a temperature excursion protocol defining what happens when a fridge goes out of range including escalation notification and stock assessment procedures.","Build a temperature monitoring culture where daily checks are automatic and never questioned. Display temperature compliance dashboards in the kitchen area. Review temperature trends monthly to identify equipment that may be failing before it breaks down. Your cold chain should be robust enough to survive unannounced EHO inspection at any time.",Temperature Monitoring & Cold Chain
RP002,Allergen Management & PPDS Compliance,D01,medium-critical,"Audit your allergen information immediately. Every menu item must have the 14 declarable allergens documented and available to customers on request. If you sell any pre-packed for direct sale items check Natasha's Law PPDS compliance now — every wrapped sandwich cake or salad must carry a full ingredient list with allergens emphasised. Fix any gaps today.","Create an allergen matrix covering every item on your menu including specials and seasonal items. Implement a system for updating allergen information when recipes or suppliers change. Train every team member to handle allergen enquiries confidently and to escalate when uncertain. Develop a customer allergen dialogue script and ensure it is used consistently.","Establish allergen management as a non-negotiable part of your food safety culture. Conduct quarterly allergen audits including mystery customer tests. Your allergen processes should be thorough enough that a customer with a severe allergy feels genuinely safe eating with you. Track allergen near-misses and use them to strengthen your system.",Allergen Management & PPDS Compliance
RP003,Hygiene Handwashing & Cleaning Discipline,D01,medium-critical,"Observe handwashing practice across your team today. Check that soap and paper towels are stocked at every handwash station and that sinks are accessible and not blocked by equipment. Review your cleaning schedule — if there is no written schedule or it is not being signed off confirm who is responsible for what and when. Address any visible hygiene issues in food preparation areas immediately.","Develop a comprehensive cleaning schedule covering daily weekly and deep-clean tasks for every area of the cafe. Assign named responsibility for each task and implement a sign-off system. Install handwashing reminder signage and conduct observed handwashing assessments for all food handlers. Review personal hygiene standards including hair coverings aprons and jewellery policy.","Build a hygiene culture where cleanliness is a source of team pride not a burden. Integrate pest control monitoring cleaning audits and personal hygiene standards into a single environmental hygiene programme. Conduct quarterly hygiene culture assessments and celebrate compliance. Your cafe should be visibly spotless at any moment of the day.",Hygiene Handwashing & Cleaning Discipline
RP004,HACCP & Food Safety Management System,D01,medium-critical,"Check whether you have a documented HACCP-based food safety management system. If you are using Safer Food Better Business or an equivalent it must be current and actively used not filed away. Identify your critical control points — cooking temperatures cooling times hot holding — and confirm they are being monitored and recorded. Any gaps must be addressed this week.","Build or update your HACCP system to cover all food processes in your cafe from goods receipt through storage preparation cooking display and service. Document each critical control point with target parameters monitoring frequency corrective actions and responsible person. Train all kitchen and food preparation staff on the HACCP system and their specific responsibilities within it.","Your food safety management system should be a living document that evolves with your menu and operations. Conduct internal food safety audits quarterly and use findings to update procedures. Maintain supplier due diligence records and traceability systems. Aim for consistent EHO rating of 5 and use food safety excellence as a customer trust signal.",HACCP & Food Safety Management System
RP005,Food Safety Training & EHO Readiness,D01,medium-critical,"Check every team member's food safety certification status today. All food handlers must hold a minimum Level 2 Food Hygiene certificate. If any certificates have expired or were never obtained arrange training within the next 14 days. Review your most recent EHO inspection report and confirm all recommendations have been actioned.","Create a food safety training matrix showing every team member's certification status expiry date and next renewal. Schedule refresher training before certificates expire. Develop an internal food safety induction that covers your specific procedures not just generic training. Conduct a mock EHO inspection quarterly using the official scoring criteria.","Embed food safety training into your cafe's identity. Every new starter should complete food safety induction before handling food. Build an internal food safety champion role with responsibility for standards compliance and continuous improvement. Your EHO readiness should be permanent not a last-minute preparation exercise.",Food Safety Training & EHO Readiness
RP006,Queue Management & Service Speed,D02,medium-critical,"Measure your peak queue times this week. Time how long customers wait from joining the queue to receiving their order during morning rush (7-10am) and lunchtime peak. If any customer waits more than 5 minutes to order or more than 8 minutes for a coffee something is wrong. Identify the bottleneck immediately — is it the till the espresso machine the food prep or the team capacity?","Design a peak period workflow that assigns specific roles: dedicated till operator barista food runner and floor support. Create a peak staffing model based on transaction data showing exactly how many team members you need for each hour of the day. Implement a queue management communication strategy where team members acknowledge waiting customers and provide time estimates.","Build a service speed culture where the team takes pride in fast smooth service without sacrificing quality. Track average service times daily and display them to the team. Study your workflow during peak and continuously optimise. Your morning rush should feel energised and efficient not chaotic. Customers should never feel ignored even when you are busy.",Queue Management & Service Speed
RP007,Order Accuracy & Service Quality,D02,medium-critical,"Track order accuracy for the next five days. Record every wrong drink incorrect food order or missed modification. If errors exceed 5% of orders the problem is systemic not individual. Check whether your ordering process has clear handoff points between taking the order making the drink and presenting it to the customer. Ensure customer names or order numbers are used consistently.","Implement a standardised order-taking process with clear call-out protocols between the till and the bar. Create a drink modifier checklist covering milk alternatives syrups temperature preferences and dietary requirements. Develop a quality check step before handoff where the barista confirms the drink matches the order. Train all team members on your greeting standard and customer interaction expectations.","Create a service culture where every customer interaction feels personal and attentive. Track order accuracy as a key metric and celebrate perfect days. Develop your team's ability to remember regular customers and their preferences. Your service quality should be a primary reason customers choose your cafe over alternatives.",Order Accuracy & Service Quality
RP008,Customer Retention & Loyalty,D02,medium-critical,"Pull your sales data and identify your return visit patterns. How many unique customers visit weekly? What is your ratio of regulars to new customers? If you cannot answer these questions you have no retention visibility. Start tracking return visits immediately through your POS system loyalty cards or simple observation. Identify your top 20 regulars and confirm your team knows them by name.","Design and implement a loyalty programme that rewards return visits — whether digital stamp card or app-based. Create a regular customer recognition system where baristas greet regulars by name and remember their usual order. Implement a lapsed customer re-engagement process for customers who have not visited in 30 days. Track customer lifetime value not just daily transaction counts.","Build a community of loyal customers who feel genuine belonging at your cafe. Your regulars should feel like valued members not just repeat transactions. Track retention metrics monthly and use them to shape your customer experience strategy. The strongest independent cafes have return visit rates above 60% — aim to be among them.",Customer Retention & Loyalty
RP009,Complaint Resolution & Service Recovery,D02,medium-critical,"Review every complaint or negative interaction from the past month. Do you have a record? If complaints are not being documented they are being lost and the problems are repeating. Ensure every team member knows the immediate response protocol: listen acknowledge apologise and resolve on the spot. Empower baristas to offer a replacement drink or complimentary item without needing manager approval.","Create a formal complaints procedure covering face-to-face complaints online reviews and social media comments. Train all team members in de-escalation and service recovery techniques. Implement a complaint log that tracks issue type resolution offered and outcome. Review complaints weekly to identify patterns and systemic issues. Develop a feedback collection system using table cards QR codes or receipt prompts.","Transform complaints into improvement intelligence. Track complaint trends quarterly and use them to drive operational changes. Practices that resolve complaints exceptionally well create stronger loyalty than those that never receive them. Aim for a service recovery process where dissatisfied customers leave feeling genuinely valued.",Complaint Resolution & Service Recovery
RP010,Customer Journey & Accessibility,D02,medium-critical,"Walk through your cafe as a customer today. Enter through the front door and experience the full journey: signage queueing ordering waiting collecting and seating. Note every friction point. Then consider accessibility: can a wheelchair user access the counter? Are there accessible toilets? Is your menu readable for someone with visual impairment? Fix any immediate barriers.","Map your complete customer journey and define quality standards for each touchpoint. Develop specific standards for takeaway versus dine-in experiences. Conduct an accessibility audit covering physical access menu accessibility toilet facilities and communication. Create processes for handling customers with children elderly customers and those with disabilities.","Design a customer experience that is genuinely inclusive and consistently excellent regardless of how the customer interacts with you — walk-in takeaway delivery or pre-order. Your cafe should be known for making everyone feel welcome. Use customer journey mapping data to innovate and differentiate your experience from competitors.",Customer Journey & Accessibility
