signal_id,signal_name,category,type,severity,comparator,threshold,source,window_days,description
S001,fridge_temperature_records_absent,Food Safety & Hygiene,qualitative,high,,,intake,,No daily fridge and cold-storage temperature logs maintained
S002,food_allergen_management_non_compliant,Food Safety & Hygiene,qualitative,high,,,intake,,Allergen information not available or EU FIC Regulation 1169/2011 requirements not met
S003,handwashing_discipline_poor,Food Safety & Hygiene,qualitative,high,,,intake,,Handwashing not practised consistently at food preparation and service points
S004,food_preparation_cross_contamination,Food Safety & Hygiene,qualitative,high,,,intake,,Cross-contamination risks between allergens raw and cooked items or dietary categories
S005,cleaning_schedule_absent_or_incomplete,Food Safety & Hygiene,qualitative,medium,,,intake,,No written cleaning schedule or existing schedule not followed consistently
S006,pest_control_measures_absent,Food Safety & Hygiene,qualitative,high,,,intake,,No pest control contract or evidence of pest activity unaddressed
S007,food_safety_training_not_current,Food Safety & Hygiene,qualitative,medium,,,intake,,Team members lack Level 2 food hygiene certificates or refresher training overdue
S008,haccp_procedures_not_documented,Food Safety & Hygiene,qualitative,high,,,intake,,No documented HACCP-based food safety management system in place
S009,food_waste_disposal_non_compliant,Food Safety & Hygiene,qualitative,medium,,,intake,,Food waste not segregated collected or disposed of according to local regulations
S010,use_by_date_monitoring_poor,Food Safety & Hygiene,qualitative,high,,,intake,,Use-by and best-before dates not checked systematically and expired stock found on premises
S011,food_labelling_for_direct_sale_absent,Food Safety & Hygiene,qualitative,high,,,intake,,Pre-packed for direct sale items missing required allergen and ingredient labels under EU FIC Regulation 1169/2011
S012,food_storage_organisation_poor,Food Safety & Hygiene,qualitative,medium,,,intake,,Food stored on floor not covered or out of correct temperature range
S013,kitchen_equipment_maintenance_neglected,Food Safety & Hygiene,qualitative,medium,,,intake,,Kitchen equipment not maintained or serviced on schedule
S014,water_quality_not_tested,Food Safety & Hygiene,qualitative,medium,,,intake,,Water supply not tested or filtered for coffee brewing and limescale affecting equipment
S015,milk_handling_and_storage_poor,Food Safety & Hygiene,qualitative,high,,,intake,,Milk temperature not monitored open milk left at ambient or alternatives cross-contaminated
S016,food_safety_inspection_deficiencies,Food Safety & Hygiene,qualitative,high,,,intake,,Food safety authority inspection identified deficiencies or non-compliance requiring corrective action
S017,personal_hygiene_standards_inconsistent,Food Safety & Hygiene,qualitative,medium,,,intake,,Staff not wearing appropriate clothing jewellery policy absent or illness reporting policy missing
S018,food_safety_audit_not_conducted,Food Safety & Hygiene,qualitative,medium,,,intake,,No regular internal food safety audits or self-assessments carried out
S019,queue_wait_times_excessive,Customer Experience & Service,quantitative,high,gt,5,intake,30,Customers regularly waiting more than 5 minutes in queue during peak periods
S020,order_accuracy_errors_frequent,Customer Experience & Service,qualitative,medium,,,intake,,Incorrect orders wrong milk alternatives or missing modifications served regularly
S021,customer_greeting_inconsistent,Customer Experience & Service,qualitative,medium,,,intake,,No consistent greeting or acknowledgement when customers enter or approach counter
