module_id,module_name
M01,Food Safety & Hygiene Compliance
M02,Customer Journey & Retention
M03,Coffee Craft & Menu Excellence
M04,Recruitment Onboarding & Development
M05,Service Flow & Peak Management
M06,Supply Chain & Supplier Relations
M07,Pricing Revenue & Cost Control
M08,Brand Visibility & Customer Acquisition
M09,Cafe Design & Atmosphere
M10,Digital Tools & Customer Data
M11,Expansion & Market Positioning
M12,Values Identity & Community
M13,Leadership & Team Culture
M14,Operational Rhythm & Daily Discipline
M15,Multi-Site & Chain Management
M16,Regulatory Governance & Risk Management
