tool_id,tool_name,block_id,block_name,domain,module,level,format,owner_role,description,priority,dev_phase,effort_hours,adaptability,venue_types,block_dependencies,block_state,enrichment_level,mapping_status,development_status
T001-01,Daily Temperature Log Sheet,B001,Daily Temperature Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,All Staff,"A4 printable log with columns for date, time, unit name, temperature reading, initials, and corrective action taken. Used twice daily at opening and mid-afternoon.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B002, B003",enriched,gold,OK,planned
T002-01,Delivery Acceptance Checklist,B002,Cold Chain Management SOP,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,All Staff,"Checklist used at every delivery covering vehicle temperature, product probe checks, visual inspection, date verification, and sign-off. Rejected deliveries are documented with reason.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B001,enriched,gold,OK,planned
T003-01,Temperature Excursion Response Card,B003,Temperature Excursion Response,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,protocol,All Staff,Laminated A5 card posted on each fridge/freezer with step-by-step instructions for what to do when temperature exceeds safe limits.,P1,Phase 1 (Week 1-4),5,low,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B002",enriched,gold,OK,planned
T004-01,Cold Chain Dashboard Workbook,B004,Cold Chain Excellence Dashboard,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,dashboard,Manager,"Spreadsheet with four tabs consolidating temperature logs, delivery checks, excursion records, and weekly compliance summaries with automated calculations.",P1,Phase 1 (Week 1-4),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B002, B003",enriched,gold,OK,planned
T005-01,Allergen Matrix,B005,Allergen Identification & Labelling,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,matrix,Manager,"Grid mapping every menu item against the 14 major allergens, showing presence with clear marking. Available in both staff and customer-facing versions.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B007,enriched,gold,OK,planned
T006-01,PPDS Item Audit Checklist,B006,PPDS Compliance System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Manager,"Comprehensive checklist for auditing all products to determine PPDS status, listing each item, its packaging method, whether it qualifies as PPDS, and current labelling status.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B005,enriched,gold,OK,planned
T006-03,PPDS Label Template,B006,PPDS Compliance System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,template,Kitchen Lead,"Pre-formatted label template meeting Natasha's Law requirements, including product name, full ingredients list with allergens emphasised in bold, business name, and date fields.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B005,enriched,gold,OK,planned
T007-01,Allergen Dialogue Script Card,B007,Allergen Customer Dialogue Script,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,template,Front-of-House Staff,"Laminated A5 card with scripted responses for three allergen scenarios: proactive ask, reactive response, and severe allergy escalation. Positioned at each till point.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B005,enriched,gold,OK,planned
T007-04,Allergen Dialogue Role-Play Assessment,B007,Allergen Customer Dialogue Script,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,assessment,Manager,"Structured assessment form for evaluating staff performance during allergen dialogue role-plays, covering accuracy, confidence, escalation, and documentation.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B005,enriched,gold,OK,planned
T008-01,Allergen Gap Assessment,B008,Allergen Prevention Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,assessment,Allergen Champion,"RAG-rated assessment tool covering all allergen management areas: matrix accuracy, PPDS labelling, staff knowledge, kitchen practices, and documentation. Identifies immediate gaps.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B005, B006, B007",enriched,gold,OK,planned
T009-01,Handwashing Instruction Poster,B009,Handwashing Protocol,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,guide,Manager,"A4 laminated poster showing the correct 20-second handwashing technique step by step, positioned above every handwash basin in the cafe.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B011,enriched,gold,OK,planned
T009-02,Handwashing Compliance Log,B009,Handwashing Protocol,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,All Staff,"Daily tick sheet posted near the handwash basin where staff initial after washing at key trigger points, creating visibility and accountability.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B011,enriched,gold,OK,planned
T010-01,Colour-Code Reference Chart,B010,Cross-Contamination Prevention,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,guide,Kitchen Lead,"Laminated A4 chart showing the colour-coded chopping board and utensil system with the food type assigned to each colour, posted in the kitchen for quick reference.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B009, B011",enriched,gold,OK,planned
T011-01,Daily Cleaning Checklist,B011,Cleaning Schedule Protocol,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,All Staff,"Printable A4 daily checklist listing every cleaning task by shift (opening, service, closing) with columns for task, method, initials, time, and manager sign-off.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B009,enriched,gold,OK,planned
