signal_id,failure_mode_id,weight,rule_type,threshold_count,notes
S001,FM001,0.8,contributing,,
S001,FM010,0.7,contributing,,
S002,FM002,0.8,contributing,,
S002,FM007,0.7,contributing,,
S003,FM003,0.8,contributing,,
S003,FM005,0.7,contributing,,
S004,FM004,0.8,contributing,,
S004,FM007,0.7,contributing,,
S005,FM005,0.8,contributing,,
S005,FM010,0.7,contributing,,
S006,FM006,0.8,contributing,,
S006,FM010,0.7,contributing,,
S007,FM009,0.8,contributing,,
S007,FM007,0.7,contributing,,
S008,FM007,0.8,contributing,,
S008,FM010,0.7,contributing,,
S009,FM005,0.8,contributing,,
S009,FM006,0.7,contributing,,
S010,FM008,0.8,contributing,,
S010,FM001,0.7,contributing,,
S011,FM002,0.8,contributing,,
S011,FM008,0.7,contributing,,
S012,FM008,0.8,contributing,,
S012,FM004,0.7,contributing,,
S013,FM005,0.7,contributing,,
S013,FM043,0.8,contributing,,
S014,FM022,0.8,contributing,,
S014,FM005,0.7,contributing,,
S015,FM001,0.8,contributing,,
S015,FM004,0.7,contributing,,
S016,FM010,0.8,contributing,,
S016,FM007,0.7,contributing,,
S017,FM003,0.8,contributing,,
S017,FM005,0.7,contributing,,
S018,FM010,0.8,contributing,,
S018,FM009,0.7,contributing,,
S019,FM011,0.8,contributing,,
S019,FM042,0.7,contributing,,
S020,FM012,0.8,contributing,,
S020,FM011,0.7,contributing,,
S021,FM013,0.8,contributing,,
S021,FM015,0.7,contributing,,
S022,FM014,0.8,contributing,,
S022,FM015,0.7,contributing,,
S023,FM015,0.8,contributing,,
S023,FM018,0.7,contributing,,
S024,FM078,0.8,contributing,,
S024,FM015,0.7,contributing,,
S025,FM017,0.8,contributing,,
S025,FM012,0.7,contributing,,
S026,FM016,0.8,contributing,,
S026,FM015,0.7,contributing,,
S027,FM018,0.8,contributing,,
S027,FM014,0.7,contributing,,
S028,FM016,0.8,contributing,,
S029,FM016,0.7,contributing,,
S030,FM077,0.8,contributing,,
S030,FM015,0.7,contributing,,
S031,FM017,0.8,contributing,,
S031,FM013,0.7,contributing,,
S032,FM017,0.8,contributing,,
S032,FM047,0.7,contributing,,
S033,FM082,0.8,contributing,,
S033,FM017,0.7,contributing,,
S034,FM015,0.8,contributing,,
S034,FM084,0.7,contributing,,
S035,FM019,0.8,contributing,,
S035,FM025,0.7,contributing,,
S036,FM020,0.8,contributing,,
S036,FM019,0.7,contributing,,
S037,FM021,0.8,contributing,,
S037,FM027,0.7,contributing,,
S038,FM022,0.8,contributing,,
S038,FM019,0.7,contributing,,
S039,FM019,0.8,contributing,,
S039,FM026,0.7,contributing,,
S040,FM023,0.8,contributing,,
S040,FM025,0.7,contributing,,
S041,FM024,0.8,contributing,,
S041,FM023,0.7,contributing,,
S042,FM028,0.8,contributing,,
S042,FM021,0.7,contributing,,
S043,FM024,0.8,contributing,,
S043,FM019,0.7,contributing,,
S044,FM023,0.8,contributing,,
S044,FM052,0.7,contributing,,
S045,FM025,0.8,contributing,,
S045,FM053,0.7,contributing,,
S046,FM028,0.8,contributing,,
S046,FM024,0.7,contributing,,
S047,FM026,0.8,contributing,,
S047,FM048,0.7,contributing,,
S048,FM019,0.7,contributing,,
S048,FM026,0.8,contributing,,
S049,FM027,0.8,contributing,,
S049,FM021,0.7,contributing,,
S050,FM024,0.8,contributing,,
S050,FM023,0.7,contributing,,
S051,FM025,0.8,contributing,,
S051,FM031,0.7,contributing,,
S052,FM024,0.8,contributing,,
S052,FM027,0.7,contributing,,
S053,FM029,0.8,contributing,,
S053,FM036,0.7,contributing,,
S054,FM030,0.8,contributing,,
S054,FM029,0.7,contributing,,
S055,FM031,0.8,contributing,,
S055,FM019,0.7,contributing,,
S056,FM032,0.8,contributing,,
S056,FM036,0.7,contributing,,
S057,FM033,0.8,contributing,,
S057,FM035,0.7,contributing,,
S058,FM034,0.8,contributing,,
S058,FM037,0.7,contributing,,
S059,FM035,0.8,contributing,,
S059,FM029,0.7,contributing,,
S060,FM036,0.8,contributing,,
S060,FM029,0.7,contributing,,
S061,FM037,0.8,contributing,,
S061,FM034,0.7,contributing,,
S062,FM034,0.8,contributing,,
S062,FM038,0.7,contributing,,
S063,FM034,0.7,contributing,,
S063,FM031,0.8,contributing,,
S064,FM036,0.8,contributing,,
S064,FM037,0.7,contributing,,
S065,FM009,0.8,contributing,,
S065,FM030,0.7,contributing,,
S066,FM031,0.8,contributing,,
S066,FM030,0.7,contributing,,
S067,FM036,0.8,contributing,,
S067,FM029,0.7,contributing,,
S068,FM038,0.8,contributing,,
S068,FM036,0.7,contributing,,
S069,FM039,0.8,contributing,,
S069,FM097,0.7,contributing,,
S070,FM040,0.8,contributing,,
S070,FM042,0.7,contributing,,
S071,FM032,0.7,contributing,,
S071,FM097,0.8,contributing,,
S072,FM042,0.8,contributing,,
S072,FM040,0.7,contributing,,
S073,FM041,0.8,contributing,,
S073,FM042,0.7,contributing,,
S074,FM068,0.8,contributing,,
S074,FM062,0.7,contributing,,
S075,FM023,0.7,contributing,,
S075,FM041,0.8,contributing,,
S076,FM043,0.8,contributing,,
S076,FM042,0.7,contributing,,
S077,FM005,0.7,contributing,,
S077,FM039,0.8,contributing,,
S078,FM044,0.8,contributing,,
S078,FM040,0.7,contributing,,
S079,FM045,0.8,contributing,,
S079,FM039,0.7,contributing,,
S080,FM046,0.8,contributing,,
S080,FM078,0.7,contributing,,
S081,FM047,0.8,contributing,,
S081,FM042,0.7,contributing,,
S082,FM048,0.8,contributing,,
S082,FM026,0.7,contributing,,
S083,FM040,0.8,contributing,,
S083,FM064,0.7,contributing,,
S084,FM043,0.8,contributing,,
S084,FM097,0.7,contributing,,
S085,FM049,0.8,contributing,,
S085,FM058,0.7,contributing,,
S086,FM050,0.8,contributing,,
S086,FM049,0.7,contributing,,
S087,FM051,0.8,contributing,,
S087,FM049,0.7,contributing,,
S088,FM052,0.8,contributing,,
S088,FM023,0.7,contributing,,
S089,FM057,0.8,contributing,,
S089,FM044,0.7,contributing,,
S090,FM053,0.8,contributing,,
S090,FM063,0.7,contributing,,
S091,FM054,0.8,contributing,,
S091,FM063,0.7,contributing,,
S092,FM055,0.8,contributing,,
S092,FM053,0.7,contributing,,
S093,FM056,0.7,contributing,,
S093,FM050,0.8,contributing,,
S094,FM056,0.8,contributing,,
S094,FM095,0.7,contributing,,
S095,FM058,0.8,contributing,,
S095,FM049,0.7,contributing,,
S096,FM053,0.8,contributing,,
S096,FM061,0.7,contributing,,
S097,FM057,0.8,contributing,,
S097,FM044,0.7,contributing,,
S098,FM008,0.7,contributing,,
S098,FM057,0.8,contributing,,
S099,FM059,0.8,contributing,,
S099,FM060,0.7,contributing,,
S100,FM060,0.8,contributing,,
S100,FM059,0.7,contributing,,
S101,FM061,0.8,contributing,,
S101,FM059,0.7,contributing,,
S102,FM062,0.8,contributing,,
S102,FM065,0.7,contributing,,
S103,FM063,0.8,contributing,,
S103,FM053,0.7,contributing,,
S104,FM064,0.8,contributing,,
S104,FM065,0.7,contributing,,
S105,FM065,0.8,contributing,,
S105,FM062,0.7,contributing,,
S106,FM065,0.8,contributing,,
S106,FM062,0.7,contributing,,
S107,FM066,0.8,contributing,,
S107,FM059,0.7,contributing,,
S108,FM065,0.7,contributing,,
S108,FM064,0.8,contributing,,
S109,FM059,0.8,contributing,,
S109,FM097,0.7,contributing,,
S110,FM060,0.8,contributing,,
S110,FM013,0.7,contributing,,
S111,FM015,0.7,contributing,,
S111,FM083,0.8,contributing,,
S112,FM067,0.8,contributing,,
S112,FM059,0.7,contributing,,
S113,FM068,0.8,contributing,,
S113,FM062,0.7,contributing,,
S114,FM065,0.8,contributing,,
S115,FM069,0.8,contributing,,
S115,FM072,0.7,contributing,,
S116,FM070,0.8,contributing,,
S116,FM073,0.7,contributing,,
S117,FM071,0.8,contributing,,
S117,FM073,0.7,contributing,,
S118,FM072,0.8,contributing,,
S118,FM073,0.7,contributing,,
S119,FM069,0.8,contributing,,
S119,FM072,0.7,contributing,,
S120,FM070,0.8,contributing,,
S120,FM073,0.7,contributing,,
S121,FM071,0.8,contributing,,
S121,FM082,0.7,contributing,,
S122,FM074,0.8,contributing,,
S122,FM073,0.7,contributing,,
S123,FM073,0.8,contributing,,
S123,FM074,0.7,contributing,,
S124,FM070,0.8,contributing,,
S124,FM072,0.7,contributing,,
S125,FM073,0.8,contributing,,
S125,FM084,0.7,contributing,,
S126,FM073,0.8,contributing,,
S126,FM069,0.7,contributing,,
S127,FM074,0.8,contributing,,
S127,FM072,0.7,contributing,,
S128,FM070,0.7,contributing,,
S128,FM073,0.8,contributing,,
S129,FM075,0.8,contributing,,
S129,FM072,0.7,contributing,,
S130,FM076,0.8,contributing,,
S130,FM075,0.7,contributing,,
S131,FM079,0.8,contributing,,
S131,FM076,0.7,contributing,,
S132,FM079,0.8,contributing,,
S132,FM078,0.7,contributing,,
S133,FM077,0.8,contributing,,
S133,FM010,0.7,contributing,,
S134,FM078,0.8,contributing,,
S134,FM046,0.7,contributing,,
S135,FM080,0.8,contributing,,
S135,FM041,0.7,contributing,,
S136,FM079,0.8,contributing,,
S136,FM076,0.7,contributing,,
S137,FM079,0.8,contributing,,
S137,FM076,0.7,contributing,,
S138,FM078,0.7,contributing,,
S138,FM046,0.8,contributing,,
S139,FM080,0.8,contributing,,
S139,FM044,0.7,contributing,,
S140,FM095,0.8,contributing,,
S140,FM076,0.7,contributing,,
S141,FM081,0.8,contributing,,
S141,FM083,0.7,contributing,,
S142,FM081,0.7,contributing,,
S142,FM084,0.8,contributing,,
S143,FM085,0.8,contributing,,
S143,FM083,0.7,contributing,,
S144,FM085,0.8,contributing,,
S144,FM081,0.7,contributing,,
S145,FM083,0.8,contributing,,
S145,FM062,0.7,contributing,,
S146,FM082,0.8,contributing,,
S146,FM081,0.7,contributing,,
S147,FM085,0.8,contributing,,
S148,FM081,0.7,contributing,,
S148,FM042,0.8,contributing,,
S149,FM084,0.8,contributing,,
S149,FM073,0.7,contributing,,
S150,FM082,0.8,contributing,,
S150,FM081,0.7,contributing,,
S151,FM032,0.7,contributing,,
S151,FM085,0.8,contributing,,
S152,FM071,0.8,contributing,,
