response_pattern_id,layer,block_ids,tool_ids,notes
RP001,L1,"B001,B002,B003",,Temperature Monitoring & Cold Chain -> M01
RP001,L2,"B001,B002,B003,B004",,Temperature Monitoring & Cold Chain -> M01
RP001,L3,"B001,B004",,Temperature Monitoring & Cold Chain -> M01
RP002,L1,"B005,B006,B007",,Allergen Management & PPDS -> M01
RP002,L2,"B005,B006,B007,B008",,Allergen Management & PPDS -> M01
RP002,L3,"B005,B008",,Allergen Management & PPDS -> M01
RP003,L1,"B009,B010,B011",,Hygiene & Cleaning Discipline -> M01
RP003,L2,"B009,B010,B011,B012",,Hygiene & Cleaning Discipline -> M01
RP003,L3,"B009,B012",,Hygiene & Cleaning Discipline -> M01
RP004,L1,"B013,B014,B015",,HACCP & Food Safety System -> M01
RP004,L2,"B013,B014,B015,B016",,HACCP & Food Safety System -> M01
RP004,L3,"B013,B016",,HACCP & Food Safety System -> M01
RP005,L1,"B017,B018,B019",,Food Safety Training & EHO -> M01
RP005,L2,"B017,B018,B019,B020",,Food Safety Training & EHO -> M01
RP005,L3,"B017,B020",,Food Safety Training & EHO -> M01
RP006,L1,"B021,B022,B023",,Queue Management & Service Speed -> M02
RP006,L2,"B021,B022,B023,B024",,Queue Management & Service Speed -> M02
RP006,L3,"B021,B024",,Queue Management & Service Speed -> M02
RP007,L1,"B025,B026,B027",,Order Accuracy & Service Quality -> M02
RP007,L2,"B025,B026,B027,B028",,Order Accuracy & Service Quality -> M02
RP007,L3,"B025,B028",,Order Accuracy & Service Quality -> M02
RP008,L1,"B029,B030,B031",,Customer Retention & Loyalty -> M02
RP008,L2,"B029,B030,B031,B032",,Customer Retention & Loyalty -> M02
RP008,L3,"B029,B032",,Customer Retention & Loyalty -> M02
RP009,L1,"B033,B034,B035",,Complaint Resolution & Recovery -> M02
RP009,L2,"B033,B034,B035,B036",,Complaint Resolution & Recovery -> M02
RP009,L3,"B033,B036",,Complaint Resolution & Recovery -> M02
RP010,L1,"B037,B038",,Customer Journey & Accessibility -> M02
RP010,L2,"B037,B038",,Customer Journey & Accessibility -> M02
RP010,L3,"B037,B038",,Customer Journey & Accessibility -> M02
RP011,L1,"B039,B040,B041",,Espresso Extraction & Quality -> M03
RP011,L2,"B039,B040,B041,B042,B198,B200",,Espresso Extraction & Quality -> M03
RP011,L3,"B039,B042,B198,B200",,Espresso Extraction & Quality -> M03
RP012,L1,"B043,B044,B045",,Milk Craft & Presentation -> M03
RP012,L2,"B043,B044,B045,B046",,Milk Craft & Presentation -> M03
RP012,L3,"B043,B046",,Milk Craft & Presentation -> M03
RP013,L1,"B047,B048",,Water Quality & Equipment -> M03
RP013,L2,"B047,B048,B049",,Water Quality & Equipment -> M03
RP013,L3,"B047,B049",,Water Quality & Equipment -> M03
RP014,L1,"B050,B051,B052",,Food Quality & Menu -> M03
RP014,L2,"B050,B051,B052,B053,B199,B201",,Food Quality & Menu -> M03
RP014,L3,"B050,B053,B199,B201",,Food Quality & Menu -> M03
RP015,L1,"B054,B055",,Recipe Standards & Portions -> M03
RP015,L2,"B054,B055,B056",,Recipe Standards & Portions -> M03
RP015,L3,"B054,B056",,Recipe Standards & Portions -> M03
RP016,L1,"B057,B058",,Coffee Waste & Sustainability -> M03
RP016,L2,"B057,B058,B059,B196",,Coffee Waste & Sustainability -> M03
RP016,L3,"B057,B059,B196",,Coffee Waste & Sustainability -> M03
RP017,L1,"B060,B061",,Dietary Inclusivity -> M03
RP017,L2,"B060,B061,B062",,Dietary Inclusivity -> M03
RP017,L3,"B060,B062",,Dietary Inclusivity -> M03
RP018,L1,"B063,B064,B065",,Staff Retention & Engagement -> M04
RP018,L2,"B063,B064,B065,B066",,Staff Retention & Engagement -> M04
RP018,L3,"B063,B066",,Staff Retention & Engagement -> M04
RP019,L1,"B067,B068,B069",,Onboarding & Barista Training -> M04
RP019,L2,"B067,B068,B069,B070,B197,B206",,Onboarding & Barista Training -> M04
RP019,L3,"B067,B070,B197,B206",,Onboarding & Barista Training -> M04
RP020,L1,"B074,B075",,Team Communication & Meetings -> M04
RP020,L2,"B074,B075,B076",,Team Communication & Meetings -> M04
RP020,L3,"B074,B076",,Team Communication & Meetings -> M04
RP021,L1,"B071,B072",,Performance & Career Development -> M04
RP021,L2,"B071,B072,B073",,Performance & Career Development -> M04
RP021,L3,"B071,B073",,Performance & Career Development -> M04
RP022,L1,"B077,B078,B079",,Key Person Risk & Cross-Training -> M04
RP022,L2,"B077,B078,B079,B080",,Key Person Risk & Cross-Training -> M04
RP022,L3,"B077,B080",,Key Person Risk & Cross-Training -> M04
RP023,L1,"B081,B082,B083",,Owner Role & Leadership -> M13
RP023,L2,"B081,B082,B083,B084",,Owner Role & Leadership -> M13
RP023,L3,"B081,B084",,Owner Role & Leadership -> M13
RP024,L1,"B085,B086,B087",,Peak Staffing & Rush Management -> M05
RP024,L2,"B085,B086,B087,B088,B203,B204,B205",,Peak Staffing & Rush Management -> M05
RP024,L3,"B085,B088,B203,B204,B205",,Peak Staffing & Rush Management -> M05
